function_id,function_name,n,code_line,hits,time
3,heapsort,2,75,2,63
3,heapsort,2,76,1,465
3,heapsort,2,78,2,28
3,heapsort,2,79,1,7
3,heapsort,2,80,1,21
3,heapsort,3,75,2,18
3,heapsort,3,76,1,33
3,heapsort,3,78,3,16
3,heapsort,3,79,2,10
3,heapsort,3,80,2,53
3,heapsort,4,75,3,27
3,heapsort,4,76,2,121
3,heapsort,4,78,4,20
3,heapsort,4,79,3,14
3,heapsort,4,80,3,116
3,heapsort,5,75,3,19
3,heapsort,5,76,2,77
3,heapsort,5,78,5,60
3,heapsort,5,79,4,17
3,heapsort,5,80,4,143
3,heapsort,6,75,4,20
3,heapsort,6,76,3,114
3,heapsort,6,78,6,22
3,heapsort,6,79,5,22
3,heapsort,6,80,5,198
3,heapsort,7,75,4,19
3,heapsort,7,76,3,140
3,heapsort,7,78,7,27
3,heapsort,7,79,6,27
3,heapsort,7,80,6,271
3,heapsort,8,75,5,21
3,heapsort,8,76,4,132
3,heapsort,8,78,8,91
3,heapsort,8,79,7,29
3,heapsort,8,80,7,260
3,heapsort,9,75,5,21
3,heapsort,9,76,4,163
3,heapsort,9,78,9,32
3,heapsort,9,79,8,35
3,heapsort,9,80,8,329
3,heapsort,10,75,6,22
3,heapsort,10,76,5,183
3,heapsort,10,78,10,33
3,heapsort,10,79,9,37
3,heapsort,10,80,9,389
3,heapsort,11,75,6,24
3,heapsort,11,76,5,298
3,heapsort,11,78,11,34
3,heapsort,11,79,10,46
3,heapsort,11,80,10,461
3,heapsort,12,75,7,26
3,heapsort,12,76,6,285
3,heapsort,12,78,12,48
3,heapsort,12,79,11,44
3,heapsort,12,80,11,493
3,heapsort,13,75,7,26
3,heapsort,13,76,6,201
3,heapsort,13,78,13,36
3,heapsort,13,79,12,77
3,heapsort,13,80,12,603
3,heapsort,14,75,8,39
3,heapsort,14,76,7,330
3,heapsort,14,78,14,40
3,heapsort,14,79,13,53
3,heapsort,14,80,13,646
3,heapsort,15,75,8,29
3,heapsort,15,76,7,361
3,heapsort,15,78,15,46
3,heapsort,15,79,14,59
3,heapsort,15,80,14,815
3,heapsort,16,75,9,31
3,heapsort,16,76,8,369
3,heapsort,16,78,16,49
3,heapsort,16,79,15,58
3,heapsort,16,80,15,743
3,heapsort,17,75,9,33
3,heapsort,17,76,8,407
3,heapsort,17,78,17,55
3,heapsort,17,79,16,66
3,heapsort,17,80,16,942
3,heapsort,18,75,10,36
3,heapsort,18,76,9,431
3,heapsort,18,78,18,110
3,heapsort,18,79,17,71
3,heapsort,18,80,17,991
3,heapsort,19,75,10,31
3,heapsort,19,76,9,354
3,heapsort,19,78,19,69
3,heapsort,19,79,18,75
3,heapsort,19,80,18,1130
3,heapsort,20,75,11,67
3,heapsort,20,76,10,417
3,heapsort,20,78,20,63
3,heapsort,20,79,19,114
3,heapsort,20,80,19,1187
3,heapsort,21,75,11,38
3,heapsort,21,76,10,483
3,heapsort,21,78,21,62
3,heapsort,21,79,20,88
3,heapsort,21,80,20,1237
3,heapsort,22,75,12,42
3,heapsort,22,76,11,463
3,heapsort,22,78,22,71
3,heapsort,22,79,21,92
3,heapsort,22,80,21,1353
3,heapsort,23,75,12,71
3,heapsort,23,76,11,488
3,heapsort,23,78,23,71
3,heapsort,23,79,22,96
3,heapsort,23,80,22,1480
3,heapsort,24,75,13,42
3,heapsort,24,76,12,571
3,heapsort,24,78,24,77
3,heapsort,24,79,23,97
3,heapsort,24,80,23,1500
3,heapsort,25,75,13,42
3,heapsort,25,76,12,608
3,heapsort,25,78,25,78
3,heapsort,25,79,24,138
3,heapsort,25,80,24,1522
3,heapsort,26,75,14,45
3,heapsort,26,76,13,642
3,heapsort,26,78,26,72
3,heapsort,26,79,25,106
3,heapsort,26,80,25,1650
3,heapsort,27,75,14,70
3,heapsort,27,76,13,550
3,heapsort,27,78,27,79
3,heapsort,27,79,26,110
3,heapsort,27,80,26,1740
3,heapsort,28,75,15,42
3,heapsort,28,76,14,622
3,heapsort,28,78,28,149
3,heapsort,28,79,27,113
3,heapsort,28,80,27,1746
3,heapsort,29,75,15,45
3,heapsort,29,76,14,639
3,heapsort,29,78,29,80
3,heapsort,29,79,28,151
3,heapsort,29,80,28,1831
3,heapsort,30,75,16,49
3,heapsort,30,76,15,646
3,heapsort,30,78,30,121
3,heapsort,30,79,29,151
3,heapsort,30,80,29,1950
3,heapsort,31,75,16,50
3,heapsort,31,76,15,782
3,heapsort,31,78,31,99
3,heapsort,31,79,30,137
3,heapsort,31,80,30,2494
3,heapsort,32,75,17,108
3,heapsort,32,76,16,957
3,heapsort,32,78,32,83
3,heapsort,32,79,31,122
3,heapsort,32,80,31,2130
3,heapsort,33,75,17,52
3,heapsort,33,76,16,758
3,heapsort,33,78,33,134
3,heapsort,33,79,32,162
3,heapsort,33,80,32,2317
3,heapsort,34,75,18,56
3,heapsort,34,76,17,724
3,heapsort,34,78,34,95
3,heapsort,34,79,33,153
3,heapsort,34,80,33,2466
3,heapsort,35,75,18,88
3,heapsort,35,76,17,738
3,heapsort,35,78,35,101
3,heapsort,35,79,34,147
3,heapsort,35,80,34,2652
3,heapsort,36,75,19,80
3,heapsort,36,76,18,710
3,heapsort,36,78,36,93
3,heapsort,36,79,35,132
3,heapsort,36,80,35,2275
3,heapsort,37,75,19,48
3,heapsort,37,76,18,746
3,heapsort,37,78,37,99
3,heapsort,37,79,36,147
3,heapsort,37,80,36,3324
3,heapsort,38,75,20,64
3,heapsort,38,76,19,837
3,heapsort,38,78,38,121
3,heapsort,38,79,37,167
3,heapsort,38,80,37,2793
3,heapsort,39,75,20,72
3,heapsort,39,76,19,872
3,heapsort,39,78,39,236
3,heapsort,39,79,38,222
3,heapsort,39,80,38,3241
3,heapsort,40,75,21,136
3,heapsort,40,76,20,1450
3,heapsort,40,78,40,115
3,heapsort,40,79,39,174
3,heapsort,40,80,39,3060
3,heapsort,41,75,21,64
3,heapsort,41,76,20,1010
3,heapsort,41,78,41,181
3,heapsort,41,79,40,192
3,heapsort,41,80,40,3286
3,heapsort,42,75,22,89
3,heapsort,42,76,21,1379
3,heapsort,42,78,42,175
3,heapsort,42,79,41,219
3,heapsort,42,80,41,4111
3,heapsort,43,75,22,79
3,heapsort,43,76,21,1015
3,heapsort,43,78,43,143
3,heapsort,43,79,42,191
3,heapsort,43,80,42,3463
3,heapsort,44,75,23,72
3,heapsort,44,76,22,985
3,heapsort,44,78,44,142
3,heapsort,44,79,43,196
3,heapsort,44,80,43,3608
3,heapsort,45,75,23,106
3,heapsort,45,76,22,1078
3,heapsort,45,78,45,126
3,heapsort,45,79,44,274
3,heapsort,45,80,44,3503
3,heapsort,46,75,24,66
3,heapsort,46,76,23,1041
3,heapsort,46,78,46,155
3,heapsort,46,79,45,197
3,heapsort,46,80,45,3550
3,heapsort,47,75,24,67
3,heapsort,47,76,23,1164
3,heapsort,47,78,47,137
3,heapsort,47,79,46,235
3,heapsort,47,80,46,3875
3,heapsort,48,75,25,71
3,heapsort,48,76,24,1148
3,heapsort,48,78,48,143
3,heapsort,48,79,47,199
3,heapsort,48,80,47,3812
3,heapsort,49,75,25,78
3,heapsort,49,76,24,1226
3,heapsort,49,78,49,145
3,heapsort,49,79,48,225
3,heapsort,49,80,48,3963
3,heapsort,50,75,26,64
3,heapsort,50,76,25,1160
3,heapsort,50,78,50,148
3,heapsort,50,79,49,244
3,heapsort,50,80,49,4001
3,heapsort,51,75,26,77
3,heapsort,51,76,25,1178
3,heapsort,51,78,51,144
3,heapsort,51,79,50,256
3,heapsort,51,80,50,4224
3,heapsort,52,75,27,103
3,heapsort,52,76,26,1268
3,heapsort,52,78,52,147
3,heapsort,52,79,51,329
3,heapsort,52,80,51,4067
3,heapsort,53,75,27,136
3,heapsort,53,76,26,2007
3,heapsort,53,78,53,196
3,heapsort,53,79,52,323
3,heapsort,53,80,52,4935
3,heapsort,54,75,28,94
3,heapsort,54,76,27,1494
3,heapsort,54,78,54,155
3,heapsort,54,79,53,225
3,heapsort,54,80,53,4567
3,heapsort,55,75,28,92
3,heapsort,55,76,27,1316
3,heapsort,55,78,55,200
3,heapsort,55,79,54,225
3,heapsort,55,80,54,4757
3,heapsort,56,75,29,89
3,heapsort,56,76,28,1414
3,heapsort,56,78,56,191
3,heapsort,56,79,55,239
3,heapsort,56,80,55,4663
3,heapsort,57,75,29,84
3,heapsort,57,76,28,1385
3,heapsort,57,78,57,165
3,heapsort,57,79,56,278
3,heapsort,57,80,56,4868
3,heapsort,58,75,30,86
3,heapsort,58,76,29,1296
3,heapsort,58,78,58,170
3,heapsort,58,79,57,273
3,heapsort,58,80,57,4858
3,heapsort,59,75,30,84
3,heapsort,59,76,29,1373
3,heapsort,59,78,59,163
3,heapsort,59,79,58,243
3,heapsort,59,80,58,4975
3,heapsort,60,75,31,112
3,heapsort,60,76,30,1398
3,heapsort,60,78,60,207
3,heapsort,60,79,59,250
3,heapsort,60,80,59,4969
3,heapsort,61,75,31,86
3,heapsort,61,76,30,1421
3,heapsort,61,78,61,146
3,heapsort,61,79,60,227
3,heapsort,61,80,60,4824
3,heapsort,62,75,32,82
3,heapsort,62,76,31,1362
3,heapsort,62,78,62,196
3,heapsort,62,79,61,272
3,heapsort,62,80,61,4781
3,heapsort,63,75,32,112
3,heapsort,63,76,31,1355
3,heapsort,63,78,63,185
3,heapsort,63,79,62,255
3,heapsort,63,80,62,4908
3,heapsort,64,75,33,107
3,heapsort,64,76,32,1305
3,heapsort,64,78,64,155
3,heapsort,64,79,63,236
3,heapsort,64,80,63,5004
3,heapsort,65,75,33,104
3,heapsort,65,76,32,1425
3,heapsort,65,78,65,197
3,heapsort,65,79,64,255
3,heapsort,65,80,64,5792
3,heapsort,66,75,34,95
3,heapsort,66,76,33,1415
3,heapsort,66,78,66,184
3,heapsort,66,79,65,266
3,heapsort,66,80,65,5662
3,heapsort,67,75,34,86
3,heapsort,67,76,33,1411
3,heapsort,67,78,67,176
3,heapsort,67,79,66,261
3,heapsort,67,80,66,5336
3,heapsort,68,75,35,86
3,heapsort,68,76,34,1514
3,heapsort,68,78,68,197
3,heapsort,68,79,67,267
3,heapsort,68,80,67,5319
3,heapsort,69,75,35,89
3,heapsort,69,76,34,1478
3,heapsort,69,78,69,182
3,heapsort,69,79,68,290
3,heapsort,69,80,68,5469
3,heapsort,70,75,36,121
3,heapsort,70,76,35,1475
3,heapsort,70,78,70,204
3,heapsort,70,79,69,316
3,heapsort,70,80,69,5423
3,heapsort,71,75,36,92
3,heapsort,71,76,35,1560
3,heapsort,71,78,71,204
3,heapsort,71,79,70,336
3,heapsort,71,80,70,6717
3,heapsort,72,75,37,110
3,heapsort,72,76,36,1723
3,heapsort,72,78,72,207
3,heapsort,72,79,71,288
3,heapsort,72,80,71,6527
3,heapsort,73,75,37,89
3,heapsort,73,76,36,1693
3,heapsort,73,78,73,215
3,heapsort,73,79,72,303
3,heapsort,73,80,72,5992
3,heapsort,74,75,38,91
3,heapsort,74,76,37,1627
3,heapsort,74,78,74,191
3,heapsort,74,79,73,303
3,heapsort,74,80,73,6067
3,heapsort,75,75,38,98
3,heapsort,75,76,37,1701
3,heapsort,75,78,75,217
3,heapsort,75,79,74,350
3,heapsort,75,80,74,6135
3,heapsort,76,75,39,105
3,heapsort,76,76,38,2155
3,heapsort,76,78,76,213
3,heapsort,76,79,75,353
3,heapsort,76,80,75,6609
3,heapsort,77,75,39,100
3,heapsort,77,76,38,1967
3,heapsort,77,78,77,260
3,heapsort,77,79,76,309
3,heapsort,77,80,76,6435
3,heapsort,78,75,40,138
3,heapsort,78,76,39,1611
3,heapsort,78,78,78,240
3,heapsort,78,79,77,302
3,heapsort,78,80,77,6536
3,heapsort,79,75,40,134
3,heapsort,79,76,39,1772
3,heapsort,79,78,79,244
3,heapsort,79,79,78,305
3,heapsort,79,80,78,6573
3,heapsort,80,75,41,161
3,heapsort,80,76,40,1567
3,heapsort,80,78,80,207
3,heapsort,80,79,79,309
3,heapsort,80,80,79,6847
3,heapsort,81,75,41,103
3,heapsort,81,76,40,1725
3,heapsort,81,78,81,235
3,heapsort,81,79,80,313
3,heapsort,81,80,80,6880
3,heapsort,82,75,42,113
3,heapsort,82,76,41,1779
3,heapsort,82,78,82,214
3,heapsort,82,79,81,684
3,heapsort,82,80,81,6873
3,heapsort,83,75,42,106
3,heapsort,83,76,41,1798
3,heapsort,83,78,83,273
3,heapsort,83,79,82,320
3,heapsort,83,80,82,7035
3,heapsort,84,75,43,133
3,heapsort,84,76,42,1779
3,heapsort,84,78,84,271
3,heapsort,84,79,83,372
3,heapsort,84,80,83,7056
3,heapsort,85,75,43,109
3,heapsort,85,76,42,1923
3,heapsort,85,78,85,769
3,heapsort,85,79,84,337
3,heapsort,85,80,84,7648
3,heapsort,86,75,44,142
3,heapsort,86,76,43,2165
3,heapsort,86,78,86,282
3,heapsort,86,79,85,378
3,heapsort,86,80,85,8047
3,heapsort,87,75,44,126
3,heapsort,87,76,43,2109
3,heapsort,87,78,87,262
3,heapsort,87,79,86,397
3,heapsort,87,80,86,7640
3,heapsort,88,75,45,128
3,heapsort,88,76,44,1906
3,heapsort,88,78,88,273
3,heapsort,88,79,87,395
3,heapsort,88,80,87,7365
3,heapsort,89,75,45,102
3,heapsort,89,76,44,1834
3,heapsort,89,78,89,232
3,heapsort,89,79,88,337
3,heapsort,89,80,88,7840
3,heapsort,90,75,46,104
3,heapsort,90,76,45,1952
3,heapsort,90,78,90,236
