function_id,function_name,n,code_line,hits,time
4,insertion_sort,2,14,2,45
4,insertion_sort,2,15,1,8
4,insertion_sort,2,16,1,7
4,insertion_sort,2,17,1,10
4,insertion_sort,2,20,1,11
4,insertion_sort,3,14,3,24
4,insertion_sort,3,15,2,8
4,insertion_sort,3,16,2,8
4,insertion_sort,3,17,5,26
4,insertion_sort,3,18,3,16
4,insertion_sort,3,19,3,141
4,insertion_sort,3,20,2,11
4,insertion_sort,4,14,4,32
4,insertion_sort,4,15,3,12
4,insertion_sort,4,16,3,12
4,insertion_sort,4,17,7,130
4,insertion_sort,4,18,4,21
4,insertion_sort,4,19,4,16
4,insertion_sort,4,20,3,17
4,insertion_sort,5,14,5,27
4,insertion_sort,5,15,4,16
4,insertion_sort,5,16,4,13
4,insertion_sort,5,17,7,39
4,insertion_sort,5,18,3,15
4,insertion_sort,5,19,3,141
4,insertion_sort,5,20,4,20
4,insertion_sort,6,14,6,27
4,insertion_sort,6,15,5,18
4,insertion_sort,6,16,5,19
4,insertion_sort,6,17,15,75
4,insertion_sort,6,18,10,51
4,insertion_sort,6,19,10,40
4,insertion_sort,6,20,5,25
4,insertion_sort,7,14,7,30
4,insertion_sort,7,15,6,23
4,insertion_sort,7,16,6,22
4,insertion_sort,7,17,17,87
4,insertion_sort,7,18,11,55
4,insertion_sort,7,19,11,43
4,insertion_sort,7,20,6,30
4,insertion_sort,8,14,8,33
4,insertion_sort,8,15,7,28
4,insertion_sort,8,16,7,26
4,insertion_sort,8,17,26,136
4,insertion_sort,8,18,19,226
4,insertion_sort,8,19,19,77
4,insertion_sort,8,20,7,37
4,insertion_sort,9,14,9,39
4,insertion_sort,9,15,8,31
4,insertion_sort,9,16,8,27
4,insertion_sort,9,17,28,147
4,insertion_sort,9,18,20,99
4,insertion_sort,9,19,20,77
4,insertion_sort,9,20,8,40
4,insertion_sort,10,14,10,40
4,insertion_sort,10,15,9,36
4,insertion_sort,10,16,9,162
4,insertion_sort,10,17,35,179
4,insertion_sort,10,18,26,253
4,insertion_sort,10,19,26,98
4,insertion_sort,10,20,9,46
4,insertion_sort,11,14,11,44
4,insertion_sort,11,15,10,102
4,insertion_sort,11,16,10,38
4,insertion_sort,11,17,40,203
4,insertion_sort,11,18,30,272
4,insertion_sort,11,19,30,115
4,insertion_sort,11,20,10,50
4,insertion_sort,12,14,12,47
4,insertion_sort,12,15,11,43
4,insertion_sort,12,16,11,39
4,insertion_sort,12,17,38,326
4,insertion_sort,12,18,27,135
4,insertion_sort,12,19,27,105
4,insertion_sort,12,20,11,56
4,insertion_sort,13,14,13,47
4,insertion_sort,13,15,12,48
4,insertion_sort,13,16,12,42
4,insertion_sort,13,17,43,230
4,insertion_sort,13,18,31,402
4,insertion_sort,13,19,31,122
4,insertion_sort,13,20,12,60
4,insertion_sort,14,14,14,54
4,insertion_sort,14,15,13,50
4,insertion_sort,14,16,13,47
4,insertion_sort,14,17,46,240
4,insertion_sort,14,18,33,287
4,insertion_sort,14,19,33,127
4,insertion_sort,14,20,13,190
4,insertion_sort,15,14,15,55
4,insertion_sort,15,15,14,54
4,insertion_sort,15,16,14,51
4,insertion_sort,15,17,63,335
4,insertion_sort,15,18,49,365
4,insertion_sort,15,19,49,190
4,insertion_sort,15,20,14,198
4,insertion_sort,16,14,16,55
4,insertion_sort,16,15,15,97
4,insertion_sort,16,16,15,57
4,insertion_sort,16,17,76,646
4,insertion_sort,16,18,61,295
4,insertion_sort,16,19,61,358
4,insertion_sort,16,20,15,74
4,insertion_sort,17,14,17,61
4,insertion_sort,17,15,16,62
4,insertion_sort,17,16,16,57
4,insertion_sort,17,17,92,603
4,insertion_sort,17,18,76,491
4,insertion_sort,17,19,76,294
4,insertion_sort,17,20,16,78
4,insertion_sort,18,14,18,61
4,insertion_sort,18,15,17,187
4,insertion_sort,18,16,17,62
4,insertion_sort,18,17,67,349
4,insertion_sort,18,18,50,367
4,insertion_sort,18,19,50,189
4,insertion_sort,18,20,17,85
4,insertion_sort,19,14,19,66
4,insertion_sort,19,15,18,71
4,insertion_sort,19,16,18,63
4,insertion_sort,19,17,103,663
4,insertion_sort,19,18,85,403
4,insertion_sort,19,19,85,465
4,insertion_sort,19,20,18,88
4,insertion_sort,20,14,20,69
4,insertion_sort,20,15,19,204
4,insertion_sort,20,16,19,66
4,insertion_sort,20,17,98,512
4,insertion_sort,20,18,79,508
4,insertion_sort,20,19,79,307
4,insertion_sort,20,20,19,92
4,insertion_sort,21,14,21,69
4,insertion_sort,21,15,20,77
4,insertion_sort,21,16,20,101
4,insertion_sort,21,17,116,873
4,insertion_sort,21,18,96,465
4,insertion_sort,21,19,96,381
4,insertion_sort,21,20,20,100
4,insertion_sort,22,14,22,73
4,insertion_sort,22,15,21,78
4,insertion_sort,22,16,21,78
4,insertion_sort,22,17,118,629
4,insertion_sort,22,18,97,595
4,insertion_sort,22,19,97,504
4,insertion_sort,22,20,21,103
4,insertion_sort,23,14,23,77
4,insertion_sort,23,15,22,83
4,insertion_sort,23,16,22,83
4,insertion_sort,23,17,156,824
4,insertion_sort,23,18,134,769
4,insertion_sort,23,19,134,783
4,insertion_sort,23,20,22,113
4,insertion_sort,24,14,24,79
4,insertion_sort,24,15,23,211
4,insertion_sort,24,16,23,81
4,insertion_sort,24,17,135,824
4,insertion_sort,24,18,112,553
4,insertion_sort,24,19,112,552
4,insertion_sort,24,20,23,114
4,insertion_sort,25,14,25,84
4,insertion_sort,25,15,24,213
4,insertion_sort,25,16,24,95
4,insertion_sort,25,17,198,1086
4,insertion_sort,25,18,174,849
4,insertion_sort,25,19,174,1175
4,insertion_sort,25,20,24,117
4,insertion_sort,26,14,26,85
4,insertion_sort,26,15,25,98
4,insertion_sort,26,16,25,91
4,insertion_sort,26,17,213,1362
4,insertion_sort,26,18,188,1024
4,insertion_sort,26,19,188,854
4,insertion_sort,26,20,25,121
4,insertion_sort,27,14,27,89
4,insertion_sort,27,15,26,98
4,insertion_sort,27,16,26,92
4,insertion_sort,27,17,209,1597
4,insertion_sort,27,18,183,998
4,insertion_sort,27,19,183,718
4,insertion_sort,27,20,26,131
4,insertion_sort,28,14,28,91
4,insertion_sort,28,15,27,104
4,insertion_sort,28,16,27,97
4,insertion_sort,28,17,236,2000
4,insertion_sort,28,18,209,1000
4,insertion_sort,28,19,209,857
4,insertion_sort,28,20,27,260
4,insertion_sort,29,14,29,94
4,insertion_sort,29,15,28,105
4,insertion_sort,29,16,28,227
4,insertion_sort,29,17,210,1467
4,insertion_sort,29,18,182,897
4,insertion_sort,29,19,182,829
4,insertion_sort,29,20,28,133
4,insertion_sort,30,14,30,226
4,insertion_sort,30,15,29,234
4,insertion_sort,30,16,29,103
4,insertion_sort,30,17,240,1641
4,insertion_sort,30,18,211,1251
4,insertion_sort,30,19,211,940
4,insertion_sort,30,20,29,138
4,insertion_sort,31,14,31,101
4,insertion_sort,31,15,30,115
4,insertion_sort,31,16,30,107
4,insertion_sort,31,17,204,1319
4,insertion_sort,31,18,174,1091
4,insertion_sort,31,19,174,933
4,insertion_sort,31,20,30,145
4,insertion_sort,32,14,32,102
4,insertion_sort,32,15,31,119
4,insertion_sort,32,16,31,239
4,insertion_sort,32,17,274,1621
4,insertion_sort,32,18,243,1311
4,insertion_sort,32,19,243,1060
4,insertion_sort,32,20,31,154
4,insertion_sort,33,14,33,107
4,insertion_sort,33,15,32,124
4,insertion_sort,33,16,32,121
4,insertion_sort,33,17,251,1736
4,insertion_sort,33,18,219,1200
4,insertion_sort,33,19,219,966
4,insertion_sort,33,20,32,155
4,insertion_sort,34,14,34,124
