function_id,function_name,n,code_line,hits,time
5,insertion_sort_bin,2,23,2,44
5,insertion_sort_bin,2,24,1,9
5,insertion_sort_bin,2,25,1,7
5,insertion_sort_bin,2,26,2,10
5,insertion_sort_bin,2,27,1,7
5,insertion_sort_bin,2,28,1,7
5,insertion_sort_bin,2,31,1,6
5,insertion_sort_bin,2,32,1,45
5,insertion_sort_bin,3,23,3,41
5,insertion_sort_bin,3,24,2,15
5,insertion_sort_bin,3,25,2,13
5,insertion_sort_bin,3,26,5,31
5,insertion_sort_bin,3,27,3,22
5,insertion_sort_bin,3,28,3,23
5,insertion_sort_bin,3,29,1,6
5,insertion_sort_bin,3,31,2,10
5,insertion_sort_bin,3,32,2,60
5,insertion_sort_bin,4,23,4,72
5,insertion_sort_bin,4,24,3,39
5,insertion_sort_bin,4,25,3,23
5,insertion_sort_bin,4,26,8,55
5,insertion_sort_bin,4,27,5,41
5,insertion_sort_bin,4,28,5,40
5,insertion_sort_bin,4,29,3,28
5,insertion_sort_bin,4,31,2,9
5,insertion_sort_bin,4,32,3,85
5,insertion_sort_bin,5,23,5,49
5,insertion_sort_bin,5,24,4,22
5,insertion_sort_bin,5,25,4,25
5,insertion_sort_bin,5,26,12,76
5,insertion_sort_bin,5,27,8,56
5,insertion_sort_bin,5,28,8,53
5,insertion_sort_bin,5,29,1,6
5,insertion_sort_bin,5,31,7,31
5,insertion_sort_bin,5,32,4,120
5,insertion_sort_bin,6,23,6,149
5,insertion_sort_bin,6,24,5,34
5,insertion_sort_bin,6,25,5,30
5,insertion_sort_bin,6,26,15,98
5,insertion_sort_bin,6,27,10,72
5,insertion_sort_bin,6,28,10,189
5,insertion_sort_bin,6,29,6,37
5,insertion_sort_bin,6,31,4,20
5,insertion_sort_bin,6,32,5,268
5,insertion_sort_bin,7,23,7,59
5,insertion_sort_bin,7,24,6,38
5,insertion_sort_bin,7,25,6,35
5,insertion_sort_bin,7,26,19,252
5,insertion_sort_bin,7,27,13,98
5,insertion_sort_bin,7,28,13,219
5,insertion_sort_bin,7,29,5,35
5,insertion_sort_bin,7,31,8,39
5,insertion_sort_bin,7,32,6,166
5,insertion_sort_bin,8,23,8,59
5,insertion_sort_bin,8,24,7,41
5,insertion_sort_bin,8,25,7,41
5,insertion_sort_bin,8,26,24,150
5,insertion_sort_bin,8,27,17,112
5,insertion_sort_bin,8,28,17,107
5,insertion_sort_bin,8,29,6,38
5,insertion_sort_bin,8,31,11,51
5,insertion_sort_bin,8,32,7,198
5,insertion_sort_bin,9,23,9,63
5,insertion_sort_bin,9,24,8,51
5,insertion_sort_bin,9,25,8,47
5,insertion_sort_bin,9,26,27,166
5,insertion_sort_bin,9,27,19,128
5,insertion_sort_bin,9,28,19,248
5,insertion_sort_bin,9,29,6,38
5,insertion_sort_bin,9,31,13,189
5,insertion_sort_bin,9,32,8,224
5,insertion_sort_bin,10,23,10,76
5,insertion_sort_bin,10,24,9,52
5,insertion_sort_bin,10,25,9,52
5,insertion_sort_bin,10,26,32,378
5,insertion_sort_bin,10,27,23,350
5,insertion_sort_bin,10,28,23,148
5,insertion_sort_bin,10,29,8,53
5,insertion_sort_bin,10,31,15,72
5,insertion_sort_bin,10,32,9,265
5,insertion_sort_bin,11,23,11,74
5,insertion_sort_bin,11,24,10,59
5,insertion_sort_bin,11,25,10,62
5,insertion_sort_bin,11,26,36,229
5,insertion_sort_bin,11,27,26,303
5,insertion_sort_bin,11,28,26,296
5,insertion_sort_bin,11,29,10,61
5,insertion_sort_bin,11,31,16,71
5,insertion_sort_bin,11,32,10,405
5,insertion_sort_bin,12,23,12,79
5,insertion_sort_bin,12,24,11,61
5,insertion_sort_bin,12,25,11,63
5,insertion_sort_bin,12,26,41,255
5,insertion_sort_bin,12,27,30,197
5,insertion_sort_bin,12,28,30,189
5,insertion_sort_bin,12,29,14,85
5,insertion_sort_bin,12,31,16,76
5,insertion_sort_bin,12,32,11,289
5,insertion_sort_bin,13,23,13,83
5,insertion_sort_bin,13,24,12,65
5,insertion_sort_bin,13,25,12,192
5,insertion_sort_bin,13,26,47,289
5,insertion_sort_bin,13,27,35,355
5,insertion_sort_bin,13,28,35,345
5,insertion_sort_bin,13,29,14,88
5,insertion_sort_bin,13,31,21,93
5,insertion_sort_bin,13,32,12,320
5,insertion_sort_bin,14,23,14,88
5,insertion_sort_bin,14,24,13,71
5,insertion_sort_bin,14,25,13,73
5,insertion_sort_bin,14,26,52,320
5,insertion_sort_bin,14,27,39,382
5,insertion_sort_bin,14,28,39,241
5,insertion_sort_bin,14,29,13,75
5,insertion_sort_bin,14,31,26,246
5,insertion_sort_bin,14,32,13,478
5,insertion_sort_bin,15,23,15,94
5,insertion_sort_bin,15,24,14,79
5,insertion_sort_bin,15,25,14,79
5,insertion_sort_bin,15,26,56,473
5,insertion_sort_bin,15,27,42,279
5,insertion_sort_bin,15,28,42,260
5,insertion_sort_bin,15,29,19,114
5,insertion_sort_bin,15,31,23,102
5,insertion_sort_bin,15,32,14,392
5,insertion_sort_bin,16,23,16,104
5,insertion_sort_bin,16,24,15,88
5,insertion_sort_bin,16,25,15,89
5,insertion_sort_bin,16,26,58,366
5,insertion_sort_bin,16,27,43,411
5,insertion_sort_bin,16,28,43,274
5,insertion_sort_bin,16,29,21,127
5,insertion_sort_bin,16,31,22,104
5,insertion_sort_bin,16,32,15,535
5,insertion_sort_bin,17,23,17,103
5,insertion_sort_bin,17,24,16,222
5,insertion_sort_bin,17,25,16,93
5,insertion_sort_bin,17,26,65,516
5,insertion_sort_bin,17,27,49,447
5,insertion_sort_bin,17,28,49,302
5,insertion_sort_bin,17,29,18,109
5,insertion_sort_bin,17,31,31,206
5,insertion_sort_bin,17,32,16,438
5,insertion_sort_bin,18,23,18,108
5,insertion_sort_bin,18,24,17,98
5,insertion_sort_bin,18,25,17,233
5,insertion_sort_bin,18,26,70,441
5,insertion_sort_bin,18,27,53,483
5,insertion_sort_bin,18,28,53,334
5,insertion_sort_bin,18,29,28,172
5,insertion_sort_bin,18,31,25,122
5,insertion_sort_bin,18,32,17,459
5,insertion_sort_bin,19,23,19,123
5,insertion_sort_bin,19,24,18,99
5,insertion_sort_bin,19,25,18,105
5,insertion_sort_bin,19,26,72,573
5,insertion_sort_bin,19,27,54,349
5,insertion_sort_bin,19,28,54,464
5,insertion_sort_bin,19,29,30,237
5,insertion_sort_bin,19,31,24,105
5,insertion_sort_bin,19,32,18,501
5,insertion_sort_bin,20,23,20,249
5,insertion_sort_bin,20,24,19,245
5,insertion_sort_bin,20,25,19,108
5,insertion_sort_bin,20,26,82,520
5,insertion_sort_bin,20,27,63,421
5,insertion_sort_bin,20,28,63,396
5,insertion_sort_bin,20,29,28,173
5,insertion_sort_bin,20,31,35,296
5,insertion_sort_bin,20,32,19,536
5,insertion_sort_bin,21,23,21,120
5,insertion_sort_bin,21,24,20,110
5,insertion_sort_bin,21,25,20,113
5,insertion_sort_bin,21,26,88,676
5,insertion_sort_bin,21,27,68,445
5,insertion_sort_bin,21,28,68,539
5,insertion_sort_bin,21,29,24,143
5,insertion_sort_bin,21,31,44,330
5,insertion_sort_bin,21,32,20,551
5,insertion_sort_bin,22,23,22,132
5,insertion_sort_bin,22,24,21,118
5,insertion_sort_bin,22,25,21,136
5,insertion_sort_bin,22,26,92,848
5,insertion_sort_bin,22,27,71,480
5,insertion_sort_bin,22,28,71,447
5,insertion_sort_bin,22,29,34,332
5,insertion_sort_bin,22,31,37,176
5,insertion_sort_bin,22,32,21,682
5,insertion_sort_bin,23,23,23,111
5,insertion_sort_bin,23,24,22,112
5,insertion_sort_bin,23,25,22,236
5,insertion_sort_bin,23,26,95,615
5,insertion_sort_bin,23,27,73,386
5,insertion_sort_bin,23,28,73,493
5,insertion_sort_bin,23,29,35,162
5,insertion_sort_bin,23,31,38,263
5,insertion_sort_bin,23,32,22,509
5,insertion_sort_bin,24,23,24,85
5,insertion_sort_bin,24,24,23,91
5,insertion_sort_bin,24,25,23,214
5,insertion_sort_bin,24,26,97,542
5,insertion_sort_bin,24,27,74,334
5,insertion_sort_bin,24,28,74,497
5,insertion_sort_bin,24,29,40,167
5,insertion_sort_bin,24,31,34,111
5,insertion_sort_bin,24,32,23,409
5,insertion_sort_bin,25,23,25,90
5,insertion_sort_bin,25,24,24,220
5,insertion_sort_bin,25,25,24,92
5,insertion_sort_bin,25,26,106,463
