function_id,function_name,n,code_line,hits,time
1,levenshteinDistance,2,120,1,11
1,levenshteinDistance,2,121,1,3
1,levenshteinDistance,2,122,1,63
1,levenshteinDistance,2,123,1,24
1,levenshteinDistance,2,124,3,11
1,levenshteinDistance,2,125,6,22
1,levenshteinDistance,2,126,4,35
1,levenshteinDistance,2,129,4,10
1,levenshteinDistance,2,130,8,55
1,levenshteinDistance,2,131,4,15
1,levenshteinDistance,2,132,4,16
1,levenshteinDistance,3,120,1,6
1,levenshteinDistance,3,121,1,3
1,levenshteinDistance,3,122,1,28
1,levenshteinDistance,3,123,1,13
1,levenshteinDistance,3,124,4,14
1,levenshteinDistance,3,125,12,41
1,levenshteinDistance,3,126,9,40
1,levenshteinDistance,3,129,9,24
1,levenshteinDistance,3,130,18,102
1,levenshteinDistance,3,131,9,29
1,levenshteinDistance,3,132,9,37
1,levenshteinDistance,4,120,1,5
1,levenshteinDistance,4,121,1,3
1,levenshteinDistance,4,122,1,28
1,levenshteinDistance,4,123,1,29
1,levenshteinDistance,4,124,5,16
1,levenshteinDistance,4,125,20,65
1,levenshteinDistance,4,126,16,68
1,levenshteinDistance,4,129,16,37
1,levenshteinDistance,4,130,32,192
1,levenshteinDistance,4,131,16,105
1,levenshteinDistance,4,132,16,61
1,levenshteinDistance,5,120,1,6
1,levenshteinDistance,5,121,1,3
1,levenshteinDistance,5,122,1,31
1,levenshteinDistance,5,123,1,10
1,levenshteinDistance,5,124,6,17
1,levenshteinDistance,5,125,30,201
1,levenshteinDistance,5,126,25,97
1,levenshteinDistance,5,129,25,55
1,levenshteinDistance,5,130,50,246
1,levenshteinDistance,5,131,25,88
1,levenshteinDistance,5,132,25,96
1,levenshteinDistance,6,120,1,4
1,levenshteinDistance,6,121,1,3
1,levenshteinDistance,6,122,1,32
1,levenshteinDistance,6,123,1,11
1,levenshteinDistance,6,124,7,22
1,levenshteinDistance,6,125,42,133
1,levenshteinDistance,6,126,36,198
1,levenshteinDistance,6,127,1,3
1,levenshteinDistance,6,129,35,87
1,levenshteinDistance,6,130,72,472
1,levenshteinDistance,6,131,36,126
1,levenshteinDistance,6,132,36,181
1,levenshteinDistance,7,120,1,4
1,levenshteinDistance,7,121,1,3
1,levenshteinDistance,7,122,1,33
1,levenshteinDistance,7,123,1,12
1,levenshteinDistance,7,124,8,22
1,levenshteinDistance,7,125,56,245
1,levenshteinDistance,7,126,49,215
1,levenshteinDistance,7,127,1,3
1,levenshteinDistance,7,129,48,118
1,levenshteinDistance,7,130,98,656
1,levenshteinDistance,7,131,49,196
1,levenshteinDistance,7,132,49,218
1,levenshteinDistance,8,120,1,4
1,levenshteinDistance,8,121,1,3
1,levenshteinDistance,8,122,1,38
1,levenshteinDistance,8,123,1,12
1,levenshteinDistance,8,124,9,28
1,levenshteinDistance,8,125,72,262
1,levenshteinDistance,8,126,64,318
1,levenshteinDistance,8,127,1,3
1,levenshteinDistance,8,129,63,155
1,levenshteinDistance,8,130,128,775
1,levenshteinDistance,8,131,64,225
1,levenshteinDistance,8,132,64,280
1,levenshteinDistance,9,120,1,6
1,levenshteinDistance,9,121,1,3
1,levenshteinDistance,9,122,1,39
1,levenshteinDistance,9,123,1,13
1,levenshteinDistance,9,124,10,25
1,levenshteinDistance,9,125,90,275
1,levenshteinDistance,9,126,81,346
1,levenshteinDistance,9,127,5,12
1,levenshteinDistance,9,129,76,234
1,levenshteinDistance,9,130,162,812
1,levenshteinDistance,9,131,81,278
1,levenshteinDistance,9,132,81,319
1,levenshteinDistance,10,120,1,5
1,levenshteinDistance,10,121,1,2
1,levenshteinDistance,10,122,1,37
1,levenshteinDistance,10,123,1,11
1,levenshteinDistance,10,124,11,31
1,levenshteinDistance,10,125,110,343
1,levenshteinDistance,10,126,100,456
1,levenshteinDistance,10,127,3,9
1,levenshteinDistance,10,129,97,252
1,levenshteinDistance,10,130,200,990
1,levenshteinDistance,10,131,100,356
1,levenshteinDistance,10,132,100,413
1,levenshteinDistance,11,120,1,5
1,levenshteinDistance,11,121,1,3
1,levenshteinDistance,11,122,1,42
1,levenshteinDistance,11,123,1,12
1,levenshteinDistance,11,124,12,35
1,levenshteinDistance,11,125,132,435
1,levenshteinDistance,11,126,121,504
1,levenshteinDistance,11,127,4,11
1,levenshteinDistance,11,129,117,253
1,levenshteinDistance,11,130,242,1291
1,levenshteinDistance,11,131,121,432
1,levenshteinDistance,11,132,121,492
1,levenshteinDistance,12,120,1,4
1,levenshteinDistance,12,121,1,2
1,levenshteinDistance,12,122,1,40
1,levenshteinDistance,12,123,1,9
1,levenshteinDistance,12,124,13,32
1,levenshteinDistance,12,125,156,559
1,levenshteinDistance,12,126,144,594
1,levenshteinDistance,12,127,5,14
1,levenshteinDistance,12,129,139,306
1,levenshteinDistance,12,130,288,1570
1,levenshteinDistance,12,131,144,533
1,levenshteinDistance,12,132,144,534
1,levenshteinDistance,13,120,1,4
1,levenshteinDistance,13,121,1,3
1,levenshteinDistance,13,122,1,40
1,levenshteinDistance,13,123,1,10
1,levenshteinDistance,13,124,14,36
1,levenshteinDistance,13,125,182,499
1,levenshteinDistance,13,126,169,676
1,levenshteinDistance,13,127,7,17
1,levenshteinDistance,13,129,162,446
1,levenshteinDistance,13,130,338,1648
1,levenshteinDistance,13,131,169,578
1,levenshteinDistance,13,132,169,674
1,levenshteinDistance,14,120,1,4
1,levenshteinDistance,14,121,1,3
1,levenshteinDistance,14,122,1,71
1,levenshteinDistance,14,123,1,10
1,levenshteinDistance,14,124,15,34
1,levenshteinDistance,14,125,210,607
1,levenshteinDistance,14,126,196,818
1,levenshteinDistance,14,127,8,20
1,levenshteinDistance,14,129,188,477
1,levenshteinDistance,14,130,392,1951
1,levenshteinDistance,14,131,196,664
1,levenshteinDistance,14,132,196,710
1,levenshteinDistance,15,120,1,4
1,levenshteinDistance,15,121,1,2
1,levenshteinDistance,15,122,1,48
1,levenshteinDistance,15,123,1,10
1,levenshteinDistance,15,124,16,37
1,levenshteinDistance,15,125,240,699
1,levenshteinDistance,15,126,225,902
1,levenshteinDistance,15,127,6,14
1,levenshteinDistance,15,129,219,518
1,levenshteinDistance,15,130,450,2158
1,levenshteinDistance,15,131,225,733
1,levenshteinDistance,15,132,225,907
1,levenshteinDistance,16,120,1,4
1,levenshteinDistance,16,121,1,3
1,levenshteinDistance,16,122,1,48
1,levenshteinDistance,16,123,1,10
1,levenshteinDistance,16,124,17,41
1,levenshteinDistance,16,125,272,806
1,levenshteinDistance,16,126,256,1116
1,levenshteinDistance,16,127,11,27
1,levenshteinDistance,16,129,245,609
1,levenshteinDistance,16,130,512,2865
1,levenshteinDistance,16,131,256,890
1,levenshteinDistance,16,132,256,953
1,levenshteinDistance,17,120,1,5
1,levenshteinDistance,17,121,1,3
1,levenshteinDistance,17,122,1,85
1,levenshteinDistance,17,123,1,10
1,levenshteinDistance,17,124,18,57
1,levenshteinDistance,17,125,306,870
1,levenshteinDistance,17,126,289,1198
1,levenshteinDistance,17,127,11,29
1,levenshteinDistance,17,129,278,714
1,levenshteinDistance,17,130,578,3007
1,levenshteinDistance,17,131,289,1053
1,levenshteinDistance,17,132,289,1084
1,levenshteinDistance,18,120,1,4
1,levenshteinDistance,18,121,1,3
1,levenshteinDistance,18,122,1,51
1,levenshteinDistance,18,123,1,10
1,levenshteinDistance,18,124,19,48
1,levenshteinDistance,18,125,342,962
1,levenshteinDistance,18,126,324,1466
1,levenshteinDistance,18,127,11,30
1,levenshteinDistance,18,129,313,787
1,levenshteinDistance,18,130,648,3211
1,levenshteinDistance,18,131,324,1062
1,levenshteinDistance,18,132,324,1196
1,levenshteinDistance,19,120,1,4
1,levenshteinDistance,19,121,1,3
1,levenshteinDistance,19,122,1,81
1,levenshteinDistance,19,123,1,10
1,levenshteinDistance,19,124,20,49
1,levenshteinDistance,19,125,380,1036
1,levenshteinDistance,19,126,361,1454
1,levenshteinDistance,19,127,8,19
1,levenshteinDistance,19,129,353,837
1,levenshteinDistance,19,130,722,3530
1,levenshteinDistance,19,131,361,1355
1,levenshteinDistance,19,132,361,1307
1,levenshteinDistance,20,120,1,5
1,levenshteinDistance,20,121,1,2
1,levenshteinDistance,20,122,1,56
1,levenshteinDistance,20,123,1,10
1,levenshteinDistance,20,124,21,55
1,levenshteinDistance,20,125,420,1201
1,levenshteinDistance,20,126,400,1703
1,levenshteinDistance,20,127,13,32
1,levenshteinDistance,20,129,387,978
1,levenshteinDistance,20,130,800,4199
1,levenshteinDistance,20,131,400,1428
1,levenshteinDistance,20,132,400,1402
1,levenshteinDistance,21,120,1,6
1,levenshteinDistance,21,121,1,3
1,levenshteinDistance,21,122,1,71
1,levenshteinDistance,21,123,1,12
1,levenshteinDistance,21,124,22,87
1,levenshteinDistance,21,125,462,1402
1,levenshteinDistance,21,126,441,2013
1,levenshteinDistance,21,127,21,63
1,levenshteinDistance,21,129,420,1061
1,levenshteinDistance,21,130,882,4698
1,levenshteinDistance,21,131,441,1669
1,levenshteinDistance,21,132,441,1713
1,levenshteinDistance,22,120,1,4
1,levenshteinDistance,22,121,1,2
1,levenshteinDistance,22,122,1,95
1,levenshteinDistance,22,123,1,11
1,levenshteinDistance,22,124,23,62
1,levenshteinDistance,22,125,506,1479
1,levenshteinDistance,22,126,484,2186
1,levenshteinDistance,22,127,14,50
1,levenshteinDistance,22,129,470,1149
1,levenshteinDistance,22,130,968,5132
1,levenshteinDistance,22,131,484,1887
1,levenshteinDistance,22,132,484,1863
1,levenshteinDistance,23,120,1,5
1,levenshteinDistance,23,121,1,3
1,levenshteinDistance,23,122,1,65
1,levenshteinDistance,23,123,1,11
1,levenshteinDistance,23,124,24,90
1,levenshteinDistance,23,125,552,2065
1,levenshteinDistance,23,126,529,2879
1,levenshteinDistance,23,127,31,92
1,levenshteinDistance,23,129,498,1414
1,levenshteinDistance,23,130,1058,6044
1,levenshteinDistance,23,131,529,2302
1,levenshteinDistance,23,132,529,2173
1,levenshteinDistance,24,120,1,9
1,levenshteinDistance,24,121,1,2
1,levenshteinDistance,24,122,1,74
1,levenshteinDistance,24,123,1,17
1,levenshteinDistance,24,124,25,76
1,levenshteinDistance,24,125,600,1892
1,levenshteinDistance,24,126,576,2619
1,levenshteinDistance,24,127,19,47
1,levenshteinDistance,24,129,557,1568
1,levenshteinDistance,24,130,1152,6800
1,levenshteinDistance,24,131,576,2123
1,levenshteinDistance,24,132,576,2428
1,levenshteinDistance,25,120,1,5
1,levenshteinDistance,25,121,1,3
1,levenshteinDistance,25,122,1,72
1,levenshteinDistance,25,123,1,67
1,levenshteinDistance,25,124,26,96
1,levenshteinDistance,25,125,650,2356
1,levenshteinDistance,25,126,625,4122
1,levenshteinDistance,25,127,28,92
1,levenshteinDistance,25,129,597,1808
1,levenshteinDistance,25,130,1250,8654
1,levenshteinDistance,25,131,625,2859
1,levenshteinDistance,25,132,625,3066
1,levenshteinDistance,26,120,1,50
1,levenshteinDistance,26,121,1,3
1,levenshteinDistance,26,122,1,125
1,levenshteinDistance,26,123,1,61
1,levenshteinDistance,26,124,27,64
1,levenshteinDistance,26,125,702,1995
1,levenshteinDistance,26,126,676,2911
1,levenshteinDistance,26,127,31,106
1,levenshteinDistance,26,129,645,1986
1,levenshteinDistance,26,130,1352,7103
1,levenshteinDistance,26,131,676,2333
1,levenshteinDistance,26,132,676,2570
1,levenshteinDistance,27,120,1,4
1,levenshteinDistance,27,121,1,3
1,levenshteinDistance,27,122,1,648
1,levenshteinDistance,27,123,1,13
1,levenshteinDistance,27,124,28,76
1,levenshteinDistance,27,125,756,2068
1,levenshteinDistance,27,126,729,2966
1,levenshteinDistance,27,127,27,91
1,levenshteinDistance,27,129,702,1693
1,levenshteinDistance,27,130,1458,7248
1,levenshteinDistance,27,131,729,2544
1,levenshteinDistance,27,132,729,2675
1,levenshteinDistance,28,120,1,6
1,levenshteinDistance,28,121,1,3
1,levenshteinDistance,28,122,1,71
1,levenshteinDistance,28,123,1,12
1,levenshteinDistance,28,124,29,70
1,levenshteinDistance,28,125,812,2306
1,levenshteinDistance,28,126,784,3266
1,levenshteinDistance,28,127,32,80
1,levenshteinDistance,28,129,752,2020
1,levenshteinDistance,28,130,1568,8026
1,levenshteinDistance,28,131,784,2808
1,levenshteinDistance,28,132,784,3433
1,levenshteinDistance,29,120,1,9
1,levenshteinDistance,29,121,1,3
1,levenshteinDistance,29,122,1,73
1,levenshteinDistance,29,123,1,11
1,levenshteinDistance,29,124,30,76
1,levenshteinDistance,29,125,870,2909
1,levenshteinDistance,29,126,841,3940
1,levenshteinDistance,29,127,51,134
1,levenshteinDistance,29,129,790,2438
1,levenshteinDistance,29,130,1682,9546
1,levenshteinDistance,29,131,841,3261
1,levenshteinDistance,29,132,841,3534
1,levenshteinDistance,30,120,1,7
1,levenshteinDistance,30,121,1,3
1,levenshteinDistance,30,122,1,123
1,levenshteinDistance,30,123,1,14
1,levenshteinDistance,30,124,31,108
1,levenshteinDistance,30,125,930,2554
1,levenshteinDistance,30,126,900,3758
1,levenshteinDistance,30,127,35,84
1,levenshteinDistance,30,129,865,2132
1,levenshteinDistance,30,130,1800,9473
1,levenshteinDistance,30,131,900,3152
1,levenshteinDistance,30,132,900,3424
1,levenshteinDistance,31,120,1,4
1,levenshteinDistance,31,121,1,3
1,levenshteinDistance,31,122,1,76
1,levenshteinDistance,31,123,1,10
1,levenshteinDistance,31,124,32,643
1,levenshteinDistance,31,125,992,2779
1,levenshteinDistance,31,126,961,3813
1,levenshteinDistance,31,127,42,158
1,levenshteinDistance,31,129,919,2250
1,levenshteinDistance,31,130,1922,9970
1,levenshteinDistance,31,131,961,3473
1,levenshteinDistance,31,132,961,3597
1,levenshteinDistance,32,120,1,3
1,levenshteinDistance,32,121,1,3
1,levenshteinDistance,32,122,1,75
1,levenshteinDistance,32,123,1,15
1,levenshteinDistance,32,124,33,81
1,levenshteinDistance,32,125,1056,2956
1,levenshteinDistance,32,126,1024,4214
1,levenshteinDistance,32,127,37,119
1,levenshteinDistance,32,129,987,2440
1,levenshteinDistance,32,130,2048,10078
1,levenshteinDistance,32,131,1024,3549
1,levenshteinDistance,32,132,1024,3815
1,levenshteinDistance,33,120,1,4
1,levenshteinDistance,33,121,1,3
1,levenshteinDistance,33,122,1,110
1,levenshteinDistance,33,123,1,11
1,levenshteinDistance,33,124,34,90
1,levenshteinDistance,33,125,1122,3487
1,levenshteinDistance,33,126,1089,4894
1,levenshteinDistance,33,127,50,217
1,levenshteinDistance,33,129,1039,2753
1,levenshteinDistance,33,130,2178,12511
1,levenshteinDistance,33,131,1089,4167
1,levenshteinDistance,33,132,1089,4654
1,levenshteinDistance,34,120,1,7
1,levenshteinDistance,34,121,1,2
1,levenshteinDistance,34,122,1,88
1,levenshteinDistance,34,123,1,16
1,levenshteinDistance,34,124,35,86
1,levenshteinDistance,34,125,1190,3424
1,levenshteinDistance,34,126,1156,4738
1,levenshteinDistance,34,127,54,186
