function_id,function_name,n,code_line,hits,time
6,quick_sort,2,53,3,45
6,quick_sort,2,54,3,34
6,quick_sort,2,55,3,36
6,quick_sort,2,56,3,74
6,quick_sort,2,57,2,21
6,quick_sort,2,58,1,21
6,quick_sort,2,59,3,43
6,quick_sort,2,60,2,30
6,quick_sort,2,62,2,29
6,quick_sort,2,63,1,22
6,quick_sort,2,65,1,41
6,quick_sort,2,66,1,29
6,quick_sort,2,67,1,21
6,quick_sort,2,68,1,26
6,quick_sort,3,53,3,44
6,quick_sort,3,54,3,168
6,quick_sort,3,55,3,35
6,quick_sort,3,56,3,63
6,quick_sort,3,57,2,21
6,quick_sort,3,58,1,16
6,quick_sort,3,59,4,74
6,quick_sort,3,60,3,46
6,quick_sort,3,61,1,31
6,quick_sort,3,62,2,44
6,quick_sort,3,63,1,27
6,quick_sort,3,65,1,28
6,quick_sort,3,66,1,36
6,quick_sort,3,67,1,21
6,quick_sort,3,68,1,21
6,quick_sort,4,53,7,102
6,quick_sort,4,54,7,82
6,quick_sort,4,55,7,83
6,quick_sort,4,56,7,147
6,quick_sort,4,57,4,53
6,quick_sort,4,58,3,188
6,quick_sort,4,59,12,684
6,quick_sort,4,60,9,668
6,quick_sort,4,61,5,107
6,quick_sort,4,62,4,60
6,quick_sort,4,63,1,24
6,quick_sort,4,65,3,453
6,quick_sort,4,66,3,92
6,quick_sort,4,67,3,78
6,quick_sort,4,68,3,73
6,quick_sort,5,53,7,71
6,quick_sort,5,54,7,59
6,quick_sort,5,55,7,57
6,quick_sort,5,56,7,100
6,quick_sort,5,57,4,36
6,quick_sort,5,58,3,33
6,quick_sort,5,59,13,139
6,quick_sort,5,60,10,100
6,quick_sort,5,61,3,41
6,quick_sort,5,62,7,66
6,quick_sort,5,63,4,54
6,quick_sort,5,65,3,49
6,quick_sort,5,66,3,54
6,quick_sort,5,67,3,48
6,quick_sort,5,68,3,45
6,quick_sort,6,53,9,91
6,quick_sort,6,54,9,74
6,quick_sort,6,55,9,72
6,quick_sort,6,56,9,129
6,quick_sort,6,57,5,46
6,quick_sort,6,58,4,43
6,quick_sort,6,59,17,185
6,quick_sort,6,60,13,126
6,quick_sort,6,61,3,40
6,quick_sort,6,62,10,100
6,quick_sort,6,63,6,84
6,quick_sort,6,65,4,62
6,quick_sort,6,66,4,71
6,quick_sort,6,67,4,66
6,quick_sort,6,68,4,57
6,quick_sort,7,53,9,95
6,quick_sort,7,54,9,79
6,quick_sort,7,55,9,75
6,quick_sort,7,56,9,127
6,quick_sort,7,57,5,45
6,quick_sort,7,58,4,41
6,quick_sort,7,59,22,224
6,quick_sort,7,60,18,172
6,quick_sort,7,61,4,57
6,quick_sort,7,62,14,263
6,quick_sort,7,63,10,139
6,quick_sort,7,65,4,62
6,quick_sort,7,66,4,68
6,quick_sort,7,67,4,64
6,quick_sort,7,68,4,58
6,quick_sort,8,53,11,111
6,quick_sort,8,54,11,91
6,quick_sort,8,55,11,90
6,quick_sort,8,56,11,152
6,quick_sort,8,57,6,55
6,quick_sort,8,58,5,52
6,quick_sort,8,59,24,243
6,quick_sort,8,60,19,312
6,quick_sort,8,61,7,98
6,quick_sort,8,62,12,113
6,quick_sort,8,63,7,97
6,quick_sort,8,65,5,75
6,quick_sort,8,66,5,82
6,quick_sort,8,67,5,210
6,quick_sort,8,68,5,71
6,quick_sort,9,53,13,131
6,quick_sort,9,54,13,111
6,quick_sort,9,55,13,232
6,quick_sort,9,56,13,181
6,quick_sort,9,57,7,63
6,quick_sort,9,58,6,64
6,quick_sort,9,59,38,381
6,quick_sort,9,60,32,308
6,quick_sort,9,61,13,179
6,quick_sort,9,62,19,178
6,quick_sort,9,63,13,313
6,quick_sort,9,65,6,88
6,quick_sort,9,66,6,110
6,quick_sort,9,67,6,97
6,quick_sort,9,68,6,88
6,quick_sort,10,53,15,156
6,quick_sort,10,54,15,124
6,quick_sort,10,55,15,250
6,quick_sort,10,56,15,212
6,quick_sort,10,57,8,76
6,quick_sort,10,58,7,199
6,quick_sort,10,59,46,463
6,quick_sort,10,60,39,506
6,quick_sort,10,61,6,86
6,quick_sort,10,62,33,309
6,quick_sort,10,63,26,363
6,quick_sort,10,65,7,106
6,quick_sort,10,66,7,122
6,quick_sort,10,67,7,117
6,quick_sort,10,68,7,99
6,quick_sort,11,53,15,146
6,quick_sort,11,54,15,131
6,quick_sort,11,55,15,122
6,quick_sort,11,56,15,212
6,quick_sort,11,57,8,74
6,quick_sort,11,58,7,74
6,quick_sort,11,59,48,501
6,quick_sort,11,60,41,522
6,quick_sort,11,61,27,377
6,quick_sort,11,62,14,134
6,quick_sort,11,63,7,228
6,quick_sort,11,65,7,106
6,quick_sort,11,66,7,120
6,quick_sort,11,67,7,112
6,quick_sort,11,68,7,104
6,quick_sort,12,53,15,146
6,quick_sort,12,54,15,119
6,quick_sort,12,55,15,113
6,quick_sort,12,56,15,329
6,quick_sort,12,57,8,73
6,quick_sort,12,58,7,70
6,quick_sort,12,59,41,405
6,quick_sort,12,60,34,437
6,quick_sort,12,61,9,246
6,quick_sort,12,62,25,224
6,quick_sort,12,63,18,367
6,quick_sort,12,65,7,100
