function_id,function_name,n,code_line,hits,time
7,selection_sort,2,36,3,33
7,selection_sort,2,37,2,59
7,selection_sort,2,38,2,17
7,selection_sort,3,36,4,23
7,selection_sort,3,37,3,68
7,selection_sort,3,38,3,16
7,selection_sort,4,36,5,21
7,selection_sort,4,37,4,43
7,selection_sort,4,38,4,19
7,selection_sort,5,36,6,23
7,selection_sort,5,37,5,52
7,selection_sort,5,38,5,21
7,selection_sort,6,36,7,25
7,selection_sort,6,37,6,62
7,selection_sort,6,38,6,28
7,selection_sort,7,36,8,31
7,selection_sort,7,37,7,69
7,selection_sort,7,38,7,31
7,selection_sort,8,36,9,34
7,selection_sort,8,37,8,87
7,selection_sort,8,38,8,35
7,selection_sort,9,36,10,37
7,selection_sort,9,37,9,97
7,selection_sort,9,38,9,68
7,selection_sort,10,36,11,39
7,selection_sort,10,37,10,109
7,selection_sort,10,38,10,41
7,selection_sort,11,36,12,43
7,selection_sort,11,37,11,115
7,selection_sort,11,38,11,46
7,selection_sort,12,36,13,46
7,selection_sort,12,37,12,132
7,selection_sort,12,38,12,48
7,selection_sort,13,36,14,47
7,selection_sort,13,37,13,207
7,selection_sort,13,38,13,57
7,selection_sort,14,36,15,81
7,selection_sort,14,37,14,146
7,selection_sort,14,38,14,59
7,selection_sort,15,36,16,56
7,selection_sort,15,37,15,163
7,selection_sort,15,38,15,62
7,selection_sort,16,36,17,86
7,selection_sort,16,37,16,175
7,selection_sort,16,38,16,68
7,selection_sort,17,36,18,99
7,selection_sort,17,37,17,185
7,selection_sort,17,38,17,100
7,selection_sort,18,36,19,63
7,selection_sort,18,37,18,204
7,selection_sort,18,38,18,75
7,selection_sort,19,36,20,67
7,selection_sort,19,37,19,214
7,selection_sort,19,38,19,80
7,selection_sort,20,36,21,69
7,selection_sort,20,37,20,225
7,selection_sort,20,38,20,85
7,selection_sort,21,36,22,75
7,selection_sort,21,37,21,278
7,selection_sort,21,38,21,89
7,selection_sort,22,36,23,89
7,selection_sort,22,37,22,261
7,selection_sort,22,38,22,91
7,selection_sort,23,36,24,83
7,selection_sort,23,37,23,267
7,selection_sort,23,38,23,98
7,selection_sort,24,36,25,95
7,selection_sort,24,37,24,284
7,selection_sort,24,38,24,164
7,selection_sort,25,36,26,89
7,selection_sort,25,37,25,322
7,selection_sort,25,38,25,103
7,selection_sort,26,36,27,117
7,selection_sort,26,37,26,311
7,selection_sort,26,38,26,109
7,selection_sort,27,36,28,99
7,selection_sort,27,37,27,365
7,selection_sort,27,38,27,144
7,selection_sort,28,36,29,107
7,selection_sort,28,37,28,371
7,selection_sort,28,38,28,112
7,selection_sort,29,36,30,132
7,selection_sort,29,37,29,347
7,selection_sort,29,38,29,124
7,selection_sort,30,36,31,101
7,selection_sort,30,37,30,366
7,selection_sort,30,38,30,150
7,selection_sort,31,36,32,103
7,selection_sort,31,37,31,415
7,selection_sort,31,38,31,158
7,selection_sort,32,36,33,123
7,selection_sort,32,37,32,473
7,selection_sort,32,38,32,130
7,selection_sort,33,36,34,139
7,selection_sort,33,37,33,413
7,selection_sort,33,38,33,137
7,selection_sort,34,36,35,114
7,selection_sort,34,37,34,430
7,selection_sort,34,38,34,170
7,selection_sort,35,36,36,138
7,selection_sort,35,37,35,457
7,selection_sort,35,38,35,176
7,selection_sort,36,36,37,136
7,selection_sort,36,37,36,504
7,selection_sort,36,38,36,152
7,selection_sort,37,36,38,168
7,selection_sort,37,37,37,492
7,selection_sort,37,38,37,146
7,selection_sort,38,36,39,137
7,selection_sort,38,37,38,495
7,selection_sort,38,38,38,158
7,selection_sort,39,36,40,132
7,selection_sort,39,37,39,555
7,selection_sort,39,38,39,190
7,selection_sort,40,36,41,138
7,selection_sort,40,37,40,530
7,selection_sort,40,38,40,169
7,selection_sort,41,36,42,200
7,selection_sort,41,37,41,558
7,selection_sort,41,38,41,170
7,selection_sort,42,36,43,141
7,selection_sort,42,37,42,566
7,selection_sort,42,38,42,208
7,selection_sort,43,36,44,144
7,selection_sort,43,37,43,616
7,selection_sort,43,38,43,210
7,selection_sort,44,36,45,163
7,selection_sort,44,37,44,648
7,selection_sort,44,38,44,181
7,selection_sort,45,36,46,164
7,selection_sort,45,37,45,670
7,selection_sort,45,38,45,191
7,selection_sort,46,36,47,188
7,selection_sort,46,37,46,641
7,selection_sort,46,38,46,231
