function_id,function_name,n,code_line,hits,time
8,shell,2,42,1,32
8,shell,2,43,2,22
8,shell,2,44,2,75
8,shell,2,45,1,20
8,shell,2,48,1,148
8,shell,2,49,1,18
8,shell,3,42,1,21
8,shell,3,43,2,19
8,shell,3,44,3,59
8,shell,3,45,4,60
8,shell,3,46,2,27
8,shell,3,47,2,21
8,shell,3,48,2,23
8,shell,3,49,1,17
8,shell,4,42,1,21
8,shell,4,43,3,29
8,shell,4,44,7,112
8,shell,4,45,9,136
8,shell,4,46,4,181
8,shell,4,47,4,42
8,shell,4,48,5,57
8,shell,4,49,2,28
8,shell,5,42,1,20
8,shell,5,43,3,163
8,shell,5,44,9,137
8,shell,5,45,10,152
8,shell,5,46,3,39
8,shell,5,47,3,30
8,shell,5,48,7,77
8,shell,5,49,2,29
8,shell,6,42,1,20
8,shell,6,43,3,30
8,shell,6,44,10,139
8,shell,6,45,11,167
8,shell,6,46,3,166
8,shell,6,47,3,31
8,shell,6,48,8,88
8,shell,6,49,2,31
8,shell,7,42,1,21
8,shell,7,43,3,28
8,shell,7,44,12,290
8,shell,7,45,17,257
8,shell,7,46,7,93
8,shell,7,47,7,71
8,shell,7,48,10,110
8,shell,7,49,2,30
8,shell,8,42,1,19
8,shell,8,43,3,30
8,shell,8,44,13,172
8,shell,8,45,15,356
8,shell,8,46,4,53
8,shell,8,47,4,40
8,shell,8,48,11,120
8,shell,8,49,2,31
8,shell,9,42,1,20
8,shell,9,43,3,29
8,shell,9,44,15,326
8,shell,9,45,29,434
8,shell,9,46,16,208
8,shell,9,47,16,163
8,shell,9,48,13,143
8,shell,9,49,2,30
8,shell,10,42,1,20
8,shell,10,43,4,40
8,shell,10,44,25,308
8,shell,10,45,30,586
8,shell,10,46,8,105
8,shell,10,47,8,84
8,shell,10,48,22,245
8,shell,10,49,3,43
8,shell,11,42,1,19
8,shell,11,43,4,39
8,shell,11,44,28,341
8,shell,11,45,41,625
8,shell,11,46,16,217
8,shell,11,47,16,167
8,shell,11,48,25,404
8,shell,11,49,3,42
8,shell,12,42,1,19
8,shell,12,43,4,37
8,shell,12,44,30,356
8,shell,12,45,50,865
8,shell,12,46,23,298
8,shell,12,47,23,231
8,shell,12,48,27,295
8,shell,12,49,3,43
8,shell,13,42,1,20
8,shell,13,43,4,38
8,shell,13,44,33,519
8,shell,13,45,47,704
8,shell,13,46,17,349
8,shell,13,47,17,172
8,shell,13,48,30,451
8,shell,13,49,3,43
8,shell,14,42,1,20
8,shell,14,43,4,39
8,shell,14,44,34,524
8,shell,14,45,55,807
8,shell,14,46,24,309
8,shell,14,47,24,242
8,shell,14,48,31,336
8,shell,14,49,3,44
8,shell,15,42,1,22
8,shell,15,43,4,38
8,shell,15,44,37,425
8,shell,15,45,58,980
8,shell,15,46,24,309
8,shell,15,47,24,246
8,shell,15,48,34,372
8,shell,15,49,3,45
8,shell,16,42,1,20
8,shell,16,43,4,38
8,shell,16,44,39,448
8,shell,16,45,67,1114
8,shell,16,46,31,407
8,shell,16,47,31,450
8,shell,16,48,36,516
8,shell,16,49,3,45
8,shell,17,42,1,19
8,shell,17,43,4,37
8,shell,17,44,42,490
8,shell,17,45,69,1239
8,shell,17,46,30,527
8,shell,17,47,30,315
8,shell,17,48,39,434
8,shell,17,49,3,45
8,shell,18,42,1,20
8,shell,18,43,4,38
8,shell,18,44,43,489
8,shell,18,45,86,1545
8,shell,18,46,46,717
8,shell,18,47,46,470
8,shell,18,48,40,435
8,shell,18,49,3,45
8,shell,19,42,1,20
8,shell,19,43,4,38
8,shell,19,44,46,529
8,shell,19,45,77,1307
8,shell,19,46,34,440
8,shell,19,47,34,344
8,shell,19,48,43,470
8,shell,19,49,3,43
8,shell,20,42,1,19
8,shell,20,43,4,39
8,shell,20,44,48,673
8,shell,20,45,99,1511
8,shell,20,46,54,693
8,shell,20,47,54,547
8,shell,20,48,45,499
8,shell,20,49,3,44
8,shell,21,42,1,19
8,shell,21,43,4,37
8,shell,21,44,51,578
8,shell,21,45,91,1750
8,shell,21,46,43,567
8,shell,21,47,43,439
8,shell,21,48,48,651
8,shell,21,49,3,45
8,shell,22,42,1,19
8,shell,22,43,5,49
8,shell,22,44,73,1017
8,shell,22,45,111,1876
8,shell,22,46,42,586
8,shell,22,47,42,707
8,shell,22,48,69,779
8,shell,22,49,4,59
8,shell,23,42,1,21
8,shell,23,43,5,51
8,shell,23,44,77,1031
8,shell,23,45,120,1930
8,shell,23,46,47,632
8,shell,23,47,47,634
8,shell,23,48,73,960
8,shell,23,49,4,60
8,shell,24,42,1,21
8,shell,24,43,5,48
8,shell,24,44,80,901
8,shell,24,45,122,2013
8,shell,24,46,46,608
8,shell,24,47,46,605
8,shell,24,48,76,968
8,shell,24,49,4,58
8,shell,25,42,1,22
8,shell,25,43,5,50
8,shell,25,44,84,1064
8,shell,25,45,142,2218
8,shell,25,46,62,826
8,shell,25,47,62,779
8,shell,25,48,80,895
8,shell,25,49,4,58
8,shell,26,42,1,20
8,shell,26,43,5,49
8,shell,26,44,87,1000
8,shell,26,45,122,2056
8,shell,26,46,39,695
8,shell,26,47,39,413
8,shell,26,48,83,1170
8,shell,26,49,4,60
8,shell,27,42,1,21
8,shell,27,43,5,46
8,shell,27,44,91,971
8,shell,27,45,132,1917
8,shell,27,46,45,564
8,shell,27,47,45,698
8,shell,27,48,87,991
8,shell,27,49,4,56
8,shell,28,42,1,16
8,shell,28,43,5,43
8,shell,28,44,93,1176
8,shell,28,45,185,2842
8,shell,28,46,96,1265
8,shell,28,47,96,1039
8,shell,28,48,89,926
8,shell,28,49,4,52
8,shell,29,42,1,17
8,shell,29,43,5,43
8,shell,29,44,97,953
8,shell,29,45,154,2268
8,shell,29,46,61,720
8,shell,29,47,61,824
8,shell,29,48,93,1047
8,shell,29,49,4,51
8,shell,30,42,1,22
8,shell,30,43,5,52
8,shell,30,44,100,1159
8,shell,30,45,182,3063
8,shell,30,46,86,1293
8,shell,30,47,86,1055
8,shell,30,48,96,1112
8,shell,30,49,4,60
8,shell,31,42,1,22
8,shell,31,43,5,48
8,shell,31,44,104,1143
8,shell,31,45,169,2942
8,shell,31,46,69,1019
8,shell,31,47,69,705
8,shell,31,48,100,1090
8,shell,31,49,4,56
8,shell,32,42,1,16
8,shell,32,43,5,39
8,shell,32,44,105,1039
8,shell,32,45,179,2465
8,shell,32,46,78,928
8,shell,32,47,78,758
8,shell,32,48,101,1009
8,shell,32,49,4,48
8,shell,33,42,1,15
8,shell,33,43,5,38
8,shell,33,44,109,1220
8,shell,33,45,190,2569
8,shell,33,46,85,890
8,shell,33,47,85,705
8,shell,33,48,105,1184
8,shell,33,49,4,49
8,shell,34,42,1,16
8,shell,34,43,5,55
8,shell,34,44,112,1833
8,shell,34,45,181,3883
8,shell,34,46,73,1221
8,shell,34,47,73,1153
8,shell,34,48,108,1685
8,shell,34,49,4,88
8,shell,35,42,1,20
8,shell,35,43,5,42
8,shell,35,44,116,1094
8,shell,35,45,217,3018
8,shell,35,46,105,1276
8,shell,35,47,105,1151
8,shell,35,48,112,1177
8,shell,35,49,4,54
8,shell,36,42,1,21
8,shell,36,43,5,43
8,shell,36,44,118,1295
