function_id,function_name,n,code_line,hits,time
10,study2,2,7,1,21
10,study2,2,8,3,86
10,study2,2,9,2,40
10,study2,3,7,1,14
10,study2,3,8,4,55
10,study2,3,9,3,36
10,study2,4,7,1,13
10,study2,4,8,5,56
10,study2,4,9,4,44
10,study2,5,7,1,12
10,study2,5,8,6,61
10,study2,5,9,5,188
10,study2,6,7,1,11
10,study2,6,8,7,71
10,study2,6,9,6,64
10,study2,7,7,1,11
10,study2,7,8,8,79
10,study2,7,9,7,75
10,study2,8,7,1,10
10,study2,8,8,9,349
10,study2,8,9,8,87
10,study2,9,7,1,11
10,study2,9,8,10,90
10,study2,9,9,9,95
10,study2,10,7,1,10
10,study2,10,8,11,102
10,study2,10,9,10,103
10,study2,11,7,1,11
10,study2,11,8,12,111
10,study2,11,9,11,116
10,study2,12,7,1,11
10,study2,12,8,13,120
10,study2,12,9,12,126
10,study2,13,7,1,11
10,study2,13,8,14,253
10,study2,13,9,13,137
10,study2,14,7,1,10
10,study2,14,8,15,137
10,study2,14,9,14,148
10,study2,15,7,1,11
10,study2,15,8,16,143
10,study2,15,9,15,159
10,study2,16,7,1,10
10,study2,16,8,17,149
10,study2,16,9,16,164
10,study2,17,7,1,10
10,study2,17,8,18,160
10,study2,17,9,17,179
10,study2,18,7,1,10
10,study2,18,8,19,156
10,study2,18,9,18,179
10,study2,19,7,1,10
10,study2,19,8,20,161
10,study2,19,9,19,189
10,study2,20,7,1,9
10,study2,20,8,21,170
10,study2,20,9,20,322
10,study2,21,7,1,9
10,study2,21,8,22,308
10,study2,21,9,21,210
10,study2,22,7,1,10
10,study2,22,8,23,183
10,study2,22,9,22,212
10,study2,23,7,1,10
10,study2,23,8,24,191
10,study2,23,9,23,229
10,study2,24,7,1,11
10,study2,24,8,25,331
10,study2,24,9,24,241
10,study2,25,7,1,9
10,study2,25,8,26,207
10,study2,25,9,25,379
10,study2,26,7,1,11
10,study2,26,8,27,346
10,study2,26,9,26,259
10,study2,27,7,1,10
10,study2,27,8,28,221
10,study2,27,9,27,342
10,study2,28,7,1,10
10,study2,28,8,29,228
10,study2,28,9,28,285
